date,heure,timestamp,type,nom,velos_dispo,bornes_libres,total,taux_occupation_places,lat,lon
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Rue Jules Ferry - Gare Saint-Roch",4,8,12,0.3333333333333333,43.605366,3.881346
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Comédie",2,17,20,0.15,43.608148,3.878778
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Hôtel de Ville",12,4,16,0.75,43.599088,3.894866
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Corum",7,5,12,0.5833333333333334,43.613989,3.8816
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Place Albert 1er - St Charles",7,20,27,0.25925925925925924,43.616768,3.873375
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Foch",1,3,8,0.625,43.610989,3.873345
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Halles Castellane",0,12,12,0.0,43.609935,3.877208
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Observatoire",4,3,8,0.625,43.606301,3.87724
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Rondelet",5,11,16,0.3125,43.603038,3.875796
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Plan Cabanes",4,8,12,0.3333333333333333,43.608491,3.868389
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Boutonnet",6,6,12,0.5,43.622629,3.868375
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Emile Combes",7,1,8,0.875,43.616742,3.87998
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Beaux-Arts",9,6,16,0.625,43.616698,3.884981
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Les Aubes",4,4,8,0.5,43.618692,3.893844
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,STATION,"Antigone centre",6,6,12,0.5,43.607942,3.890634
