date,heure,timestamp,type,nom,libres,total,taux_occupation,lat,lon
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,VILLE,VILLE,0,0,0.33166541572846303,,
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Antigone",155,239,0.3514644351464435,43.60871606,3.88881893
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Comedie",403,664,0.3930722891566265,43.60856092,3.87976196
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Corum",300,480,0.375,43.61388821,3.88225773
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Europa",483,591,0.18274111675126903,43.60784971,3.89253074
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Foch",522,620,0.15806451612903225,43.61074912,3.87657084
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Gambetta",202,452,0.5530973451327433,43.60695138,3.87137436
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Gare",374,656,0.4298780487804878,43.604024,3.87891
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Circe",1168,1200,0.02666666666666667,43.60495377,3.9178495
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Garcia Lorca",388,400,0.03,43.59098509,3.8907158
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Mosson",269,328,0.1798780487804878,43.61623716,3.81966554
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Sabines",207,285,0.2736842105263158,43.58383263,3.8602246
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Sablassou",371,379,0.021108179419525065,43.63419194,3.92229536
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Saint Jean Le Sec",241,285,0.1543859649122807,43.57082225,3.8379312
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Euromedecine",116,239,0.5146443514644351,43.63895359,3.82772365
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Occitanie",533,615,0.13333333333333333,43.63456232,3.84859796
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Vicarello",49,64,0.234375,43.63286,3.898411
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Gaumont OUEST",5,250,0.98,43.604824,3.914158
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Charles de Gaulle",157,260,0.39615384615384613,43.6285421,3.8977621
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Polygone",1013,1911,0.46991104133961276,43.607697,3.88515
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Arc de Triomphe",108,440,0.7545454545454545,43.61100267,3.8732007
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,PARKING,"Gaumont-Circe",199,500,0.602,43.60495377,3.9178495
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,VILLE,VILLE,0,0,0.3184888666499875,,
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Antigone",155,239,0.3514644351464435,43.60871606,3.88881893
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Comedie",449,664,0.32379518072289154,43.60856092,3.87976196
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Corum",315,480,0.34375,43.61388821,3.88225773
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Europa",482,591,0.1844331641285956,43.60784971,3.89253074
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Foch",587,620,0.0532258064516129,43.61074912,3.87657084
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Gambetta",206,452,0.5442477876106194,43.60695138,3.87137436
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Gare",376,656,0.4268292682926829,43.604024,3.87891
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Circe",1179,1200,0.0175,43.60495377,3.9178495
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Garcia Lorca",388,400,0.03,43.59098509,3.8907158
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Mosson",269,328,0.1798780487804878,43.61623716,3.81966554
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Sabines",206,285,0.2771929824561403,43.58383263,3.8602246
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Sablassou",371,379,0.021108179419525065,43.63419194,3.92229536
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Saint Jean Le Sec",241,285,0.1543859649122807,43.57082225,3.8379312
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Euromedecine",116,239,0.5146443514644351,43.63895359,3.82772365
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Occitanie",538,615,0.12520325203252033,43.63456232,3.84859796
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Vicarello",47,64,0.265625,43.63286,3.898411
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Gaumont OUEST",5,250,0.98,43.604824,3.914158
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Charles de Gaulle",153,260,0.4115384615384615,43.6285421,3.8977621
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Polygone",1013,1911,0.46991104133961276,43.607697,3.88515
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Arc de Triomphe",126,440,0.7136363636363636,43.61100267,3.8732007
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,PARKING,"Gaumont-Circe",199,500,0.602,43.60495377,3.9178495
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,VILLE,VILLE,0,0,0.31940622133266616,,
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Antigone",155,239,0.3514644351464435,43.60871606,3.88881893
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Comedie",461,664,0.3057228915662651,43.60856092,3.87976196
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Corum",315,480,0.34375,43.61388821,3.88225773
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Europa",481,591,0.18612521150592218,43.60784971,3.89253074
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Foch",588,620,0.05161290322580645,43.61074912,3.87657084
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Gambetta",208,452,0.5398230088495575,43.60695138,3.87137436
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Gare",361,656,0.4496951219512195,43.604024,3.87891
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Circe",1178,1200,0.018333333333333333,43.60495377,3.9178495
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Garcia Lorca",388,400,0.03,43.59098509,3.8907158
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Mosson",264,328,0.1951219512195122,43.61623716,3.81966554
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Sabines",201,285,0.29473684210526313,43.58383263,3.8602246
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Sablassou",369,379,0.026385224274406333,43.63419194,3.92229536
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Saint Jean Le Sec",241,285,0.1543859649122807,43.57082225,3.8379312
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Euromedecine",114,239,0.5230125523012552,43.63895359,3.82772365
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Occitanie",538,615,0.12520325203252033,43.63456232,3.84859796
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Vicarello",47,64,0.265625,43.63286,3.898411
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Gaumont OUEST",5,250,0.98,43.604824,3.914158
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Charles de Gaulle",154,260,0.4076923076923077,43.6285421,3.8977621
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Polygone",1013,1911,0.46991104133961276,43.607697,3.88515
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Arc de Triomphe",130,440,0.7045454545454546,43.61100267,3.8732007
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,PARKING,"Gaumont-Circe",199,500,0.602,43.60495377,3.9178495
