date,heure,timestamp,type,nom,velos_dispo,bornes_libres,total,taux_occupation_places,lat,lon
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Rue Jules Ferry - Gare Saint-Roch",2,10,12,0.16666666666666666,43.605366,3.881346
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Comédie",11,9,20,0.55,43.608148,3.878778
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Hôtel de Ville",3,12,16,0.25,43.599088,3.894866
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Corum",5,7,12,0.4166666666666667,43.613989,3.8816
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Place Albert 1er - St Charles",10,17,27,0.37037037037037035,43.616768,3.873375
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Foch",1,7,8,0.125,43.610989,3.873345
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Halles Castellane",0,12,12,0.0,43.609935,3.877208
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Observatoire",6,1,8,0.875,43.606301,3.87724
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Rondelet",3,13,16,0.1875,43.603038,3.875796
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Plan Cabanes",4,8,12,0.3333333333333333,43.608491,3.868389
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Boutonnet",6,6,12,0.5,43.622629,3.868375
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Emile Combes",6,2,8,0.75,43.616742,3.87998
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Beaux-Arts",8,8,16,0.5,43.616698,3.884981
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Les Aubes",4,4,8,0.5,43.618692,3.893844
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Antigone centre",4,8,12,0.3333333333333333,43.607942,3.890634
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Médiathèque Emile Zola",10,6,16,0.625,43.608218,3.89314
2026-02-19,00:30:23,2026-02-19T00:30:23+01:00,STATION,"Nombre d Or",11,5,16,0.6875,43.607859,3.886644
