date,heure,timestamp,type,nom,libres,total,taux_occupation,lat,lon
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,VILLE,VILLE,0,0,0.3359186056208823,,
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Antigone",149,239,0.37656903765690375,43.60871606,3.88881893
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Comedie",420,664,0.3674698795180723,43.60856092,3.87976196
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Corum",297,480,0.38125,43.61388821,3.88225773
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Europa",489,591,0.17258883248730963,43.60784971,3.89253074
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Foch",493,620,0.20483870967741935,43.61074912,3.87657084
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Gambetta",212,452,0.5309734513274337,43.60695138,3.87137436
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Gare",325,656,0.5045731707317073,43.604024,3.87891
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Circe",1163,1200,0.030833333333333334,43.60495377,3.9178495
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Garcia Lorca",389,400,0.0275,43.59098509,3.8907158
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Mosson",273,328,0.1676829268292683,43.61623716,3.81966554
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Sabines",212,285,0.256140350877193,43.58383263,3.8602246
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Sablassou",371,379,0.021108179419525065,43.63419194,3.92229536
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Saint Jean Le Sec",241,285,0.1543859649122807,43.57082225,3.8379312
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Euromedecine",129,239,0.4602510460251046,43.63895359,3.82772365
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Occitanie",543,615,0.11707317073170732,43.63456232,3.84859796
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Vicarello",38,64,0.40625,43.63286,3.898411
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Gaumont OUEST",5,250,0.98,43.604824,3.914158
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Charles de Gaulle",155,260,0.40384615384615385,43.6285421,3.8977621
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Polygone",1013,1911,0.46991104133961276,43.607697,3.88515
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Arc de Triomphe",96,440,0.7818181818181819,43.61100267,3.8732007
2026-01-08,00:36:45,2026-01-08T00:36:45+01:00,PARKING,"Gaumont-Circe",199,500,0.602,43.60495377,3.9178495
